Name Survived
"Novellius Probus" No
"Baebius Geta" Yes
"Rufius Gordian" Yes
"Pettius Appius" Yes
"Clodius Fundanus" Yes
"Constantinus Spurius" No
"Hilarianus Nero" Yes
"Belisarius Claudius" No
"Ostorius Volumnius" No
"Bonifacius Rufrius" Yes
"Flavius Scribonius" No
"Considius Nasidius" Yes
"Gallus Scribonius" No
"Opellius Poppaedius" Yes
"Marcius Minicius" Yes
"Pontidius Longinius" Yes
"Cassio Fabius" Yes
"Clodius Rullianus" Yes
"Donatus Octavius" No
"Aulus Bruttius" Yes
"Valens Licinius" No
"Ovidius Percennius" No
"Ninnius Fannius" Yes
"Pupius Maecilius" Yes
"Mucius Crispus" No
"Cloelius Messalla" No
"Florian Petreius" No
"Hostilius Primitivus" Yes
"Cominius Vincentius" Yes
"Draco Januarius" Yes
"Octavenus Balbus" No
"Rutilius Cethegus" Yes
"Menenius Valens" Yes
"Octavenus Postumius" No
"Appius Poppaedius" No
"Tacitus Maecenas" Yes
"Sestius Novellius" No
"Considius Paelignus" Yes
"Gracchus Albinius" Yes
"Pilus Probus" No
"Paternus Octavius" No
"Florianus Tertius" No
"Gordian Appius" No
"Aulus Sepullius" Yes
"Baebius Valentinian" Yes
"Crispinus Marius" Yes
"Aquillius Afranius" Yes
"Lollius Poppaedius" No
"Bruttius Castorius" Yes
"Candidus Bonifacius" Yes
"Fidius Albinius" No
"Nasidienus Sentius" No
"Ovidius Plautius" No
"Caesennius Hadrian" Yes
"Drusus Norbanus" Yes
"Titus Numerius" No
"Tiberius Curtius" Yes
"Publius Cornutus" No
"Pomponius Silvius" Yes
"Betilienus Baebius" Yes
"Licinius Segulius" Yes
"Fidius Gordian" No
"Caelius Livius" No
"Honorius Acilius" Yes
"Ravillius Amulius" Yes
"Matienus Egnatuleius" No
"Stertinius Hostius" Yes
"Cassio Pontidius" Yes
"Lacerius Coruncanius" Yes
"Curtius Anatolius" No
"Orbilius Vitus" No
"Ninnius Maecenas" No
"Marius Cassius" Yes
"Granius Sextius" No
"Pinarus Crispus" No
"Balbinus Furius" No
"Mallius Salvian" Yes
"Mallius Longinius" No
"Minicius Cinna" No
"Persius Seccius" No
"Eutropius Draco" No
"Decentius Hirrus" Yes
"Sergius Catilius" Yes
"Cornutus Iunius" No
"Placidus Damasus" No
"Cornutus Fabrinius" No
"Faustus Iulius" Yes
"Vitus Felix" Yes
"Terentius Sextus" No
"Pilus Catius" No
"Cosconius Tiberius" No
"Ostorius Florian" No
"Drusus Caesennius" No
"Hilarianus Cinna" No
"Numicius Castorius" No
"Festinius Fulcinia" Yes
"Nerva Sextius" No
"Domitian Duronius" Yes
"Titus Sextus" Yes
"Damasus Norbanus" No
"Novellius Domitian" No
"Semellius Matinius" No
"Atilius Cicereius" No
"Lucius Sepullius" Yes
"Manius Pilus" Yes
"Cassianus Aurelianus" No
"Musonius Murena" No
"Quintilianus Longinius" No
"Aelius Orchius" No
"Lamponius Longinius" No
"Sempronius Nasennius" Yes
"Naevius Statilius" No
"Mallius Antonius" No
"Vibius Rabirius" No
"Matinius Laurentius" Yes
"Vitus Bruttius" No
"Cispius Sempronius" No
"Persius Albinius" No
"Caelius Juvenalis" No
"Hadrian Urbanus" Yes
"Plautius Clodius" No
"Crispinus Salinator" Yes
"Quinctilius Publicius" Yes
"Cornelius Magnentius" Yes
"Caninius Lucretius" No
"Ingenuus Considius" No
"Verecundus Juvenalis" No
"Decentius Aulus" Yes
"Pacilius Laelius" No
"Sergius Nero" No
"Silanus Cicero" No
"Lentulus Quintus" Yes
"Varian Lartius" No
"Laberius Nigidius" Yes
"Ovidius Maximian" No
"Damasus Mucius" Yes
"Vespasian Sallustius" Yes
"Nigidius Laetorius" No
"Balbinus Messalla" Yes
"Justus Opellius" No
"Poppaedius Silvius" No
"Sentius Marcus" Yes
"Livius Publicius" Yes
"Coruncanius Oppius" Yes
"Nazarius Sabucius" No
"Eborius Catilius" No
"Gracchus Nonius" Yes
"Sepullius Sempronius" No
"Publius Dacian" No
"Calpurnius Silius" Yes
"Sidonius Gabinius" No
"Nasidienus Draco" No
"Hadrian Damasus" No
"Mallius Festus" No
"Cicero Egnatuleius" No
"Regulus Mallius" No
"Nigidius Laronius" Yes
"Fabianus Verus" Yes
"Servilius Agrippa" No
"Severian Opimius" No
"Cornutus Pedius" Yes
"Sempronius Lucretius" No
"Ovidius Lentulus" No
"Egnatius Sempronius" Yes
"Caedicius Hadrian" No
"Laelius Menenius" Yes
"Constantinus Fannius" No
"Calpurnius Balbinus" No
"Hordeonius Cato" Yes
"Candidus Ovidius" No
"Ravillius Crispus" Yes
"Pomponius Petilius" Yes
"Sestius Furius" No
"Statilius Castorius" Yes
"Rutilius Rebilus" Yes
"Mamilius Caecilius" Yes
"Caelian Quintilianus" No
"Messalla Balbus" Yes
"Lucius Pacilius" No
"Papinius Norbanus" No
"Servius Bruttius" Yes
"Sallustius Latinius" No
"Sertorius Manilius" No
"Avidius Cyprian" No
"Mamilius Sergian" No
"Marcus Sextus" Yes
"Salinator Damasus" No
"Severian Cornelius" No
"Terentius Rufinus" Yes
"Maximian Anatolius" Yes
"Petreius Fabianus" Yes
"Donatus Ogulnius" Yes
"Modius Cocceius" Yes
"Appius Flaccus" No
"Silvius Persius" Yes
"Genucius Suetonius" No
"Sergian Pontidius" Yes
"Vitus Cornificius" No
"Caecilius Gracchus" No
"Pomponius Cocceius" No
"Geta Duronius" No
"Ovidius Duronius" Yes
"Felix Donatus" Yes
"Egnatius Salvius" Yes
"Postumius Octavius" Yes
"Mucius Gracchus" Yes
"Iulius Cassianus" No
"Salvius Rufrius" No
"Iuventius Calpurnius" Yes
"Fabrinius Hilarianus" Yes
"Tiberius Novellius" No
"Galerius Varro" No
"Decimus Petilius" Yes
"Cinna Quintus" No
"Domitius Felix" Yes
"Donatus Considius" Yes
"Mallius Murena" No
"Cilnius Modius" No
"Curtius Gabinius" Yes
"Semellius Agrippa" Yes
"Cestius Porcius" Yes
"Scribonius Germanicus" No
"Matienus Sedatius" No
"Eborius Maximus" Yes
"Appius Pompeius" No
"Lacerius Sornatius" Yes
"Eutropius Nerva" Yes
"Aulus Afranius" Yes
"Orchius Cominius" Yes
"Opimius Paternus" Yes
"Volumnius Primitivus" No
"Matienus Matinius" No
"Suetonius Ogulnius" Yes
"Sextius Festinius" No
"Silius Laelius" Yes
"Coruncanius Maxentius" No
"Albinius Mamilius" No
"Sextus Coruncanius" No
"Sempronius Clodius" Yes
"Maecenas Perperna" Yes
"Sertorius Sepullius" No
"Hortensius Placidus" No
"Servilius Fannius" No
"Minicius Sestius" Yes
"Iulius Hilarianus" No
"Blasius Pedius" No
"Silanus Laurentius" Yes
"Seccius Maximus" Yes
"Aemilius Albinius" Yes
"Nautius Lacerius" Yes
"Florianus Priscus" Yes
"Nero Menenius" No
"Quintus Flavius" Yes
"Coruncanius Antonius" Yes
"Silvius Publicius" Yes
"Cornelius Herennius" Yes
"Camillus Festinius" No
"Cicero Nerva" No
"Nasidius Genucius" No
"Salvius Cornelius" Yes
"Norbanus Zeno" No
"Numitorius Opimius" Yes
"Verecundus Caecilius" No
"Licinius Salvian" No
"Munatius Salvius" Yes
"Cantilius Paulinus" Yes
"Spurius Naevius" Yes
"Munatius Ennius" No
"Juvenalis Aquillius" Yes
"Octavius Gaius" No
"Ovidius Sedatius" Yes
"Maximian Atilius" No
"Cantilius Laelius" No
"Decentius Urbanus" No
"Nerva Pilus" Yes
"Urbanus Nasennius" Yes
"Rebilus Foslius" Yes
