ID Accaunt_Open Age Gender Family_Members Education Status
768805383 yes 45 M 3 "High School" Married
818770008 yes 49 F 5 Graduate Single
713982108 yes 51 M 3 Graduate Married
769911858 yes 40 F 4 "High School" Unknown
709106358 yes 40 M 3 Uneducated Married
713061558 yes 44 M 2 Graduate Married
810347208 yes 51 M 4 Unknown Married
818906208 yes 32 M 0 "High School" Unknown
710930508 yes 37 M 3 Uneducated Single
719661558 yes 48 M 2 Graduate Single
708790833 yes 42 M 5 Uneducated Unknown
710821833 yes 65 M 1 Unknown Married
710599683 yes 56 M 1 College Single
816082233 yes 35 M 3 Graduate Unknown
712396908 yes 57 F 2 Graduate Married
714885258 yes 44 M 4 Unknown Unknown
709967358 yes 48 M 4 Post-Graduate Single
753327333 yes 41 M 3 Unknown Married
806160108 yes 61 M 1 "High School" Married
709327383 yes 45 F 2 Graduate Married
806165208 yes 47 M 1 Doctorate Divorced
708508758 no 62 F 0 Graduate Married
784725333 yes 41 M 3 "High School" Married
811604133 yes 47 F 4 Unknown Single
789124683 yes 54 M 2 Unknown Married
771071958 yes 41 F 3 Graduate Single
720466383 yes 59 M 1 "High School" Unknown
804424383 yes 63 M 1 Unknown Married
718813833 yes 44 F 3 Uneducated Single
806624208 yes 47 M 4 "High School" Married
778348233 yes 53 M 3 Unknown Married
712991808 yes 53 M 2 Uneducated Married
709029408 yes 41 M 4 Graduate Married
788658483 yes 53 F 2 College Married
787937058 yes 58 M 0 Graduate Married
715318008 yes 55 F 1 College Single
713962233 yes 55 F 3 Graduate Married
785432733 yes 42 F 4 "High School" Married
715190283 yes 57 F 1 Graduate Unknown
708300483 no 66 F 0 Doctorate Married
827111283 yes 45 M 3 Graduate Single
758551608 yes 51 M 2 Unknown Married
773146383 yes 50 F 1 College Single
778493808 yes 49 M 3 "High School" Married
720572508 yes 38 F 4 Graduate Single
712661433 yes 49 M 4 Uneducated Single
789172683 yes 56 M 2 Doctorate Married
738406533 yes 59 M 1 Doctorate Married
799723908 yes 46 M 3 "High School" Married
771490833 yes 52 M 1 College Single
720756708 yes 52 F 3 Unknown Married
779471883 no 54 F 1 Graduate Married
711525033 yes 66 F 0 "High School" Married
712813458 yes 49 M 2 Unknown Married
714374133 no 56 M 2 Graduate Married
717891558 yes 49 F 4 Graduate Unknown
716632758 yes 49 F 3 Graduate Single
768563658 yes 56 M 2 Uneducated Married
711427458 yes 44 F 5 Graduate Married
714091983 yes 42 M 2 "High School" Single
787584108 yes 55 M 3 Unknown Married
712030833 no 48 M 2 Graduate Married
711481533 yes 39 M 1 "High School" Divorced
710082708 yes 44 M 4 Post-Graduate Single
708155733 yes 53 M 2 "High School" Single
788979258 yes 51 M 4 Uneducated Single
807986133 yes 57 M 2 College Married
788730933 yes 44 F 2 Uneducated Single
711314058 yes 49 M 2 Graduate Married
717975333 yes 50 M 2 Doctorate Married
715971108 yes 51 M 4 Graduate Single
720096558 yes 55 F 2 Graduate Married
719580033 yes 54 M 1 Graduate Unknown
820582308 yes 42 M 5 Uneducated Married
789973308 yes 44 M 1 College Single
712876233 yes 53 M 2 Graduate Single
804595158 yes 44 F 4 Graduate Single
714826758 yes 37 F 3 Uneducated Single
779058108 yes 49 M 3 Graduate Divorced
710790258 yes 47 M 2 Graduate Married
715623483 yes 47 M 3 Graduate Married
715156383 yes 44 M 1 Unknown Unknown
711013983 no 55 F 4 Unknown Married
755420433 yes 59 F 1 Graduate Married
794543958 yes 53 M 1 Graduate Divorced
716396358 yes 52 M 2 Graduate Married
715398033 yes 53 M 2 "High School" Single
711743883 yes 43 F 3 Uneducated Single
719720058 yes 44 M 3 "High School" Single
778992108 yes 57 M 2 Unknown Married
717539808 yes 51 F 2 "High School" Single
714070758 yes 49 M 4 "High School" Single
714107958 yes 45 M 1 Graduate Single
789140283 yes 53 M 0 Graduate Single
715550508 yes 45 F 3 Unknown Married
719712633 yes 64 M 1 Graduate Married
772629333 yes 45 M 3 Graduate Married
720336708 yes 53 M 3 Doctorate Married
802013583 yes 56 M 3 College Married
711887583 no 47 M 2 Unknown Married
714778833 yes 49 F 3 College Single
713843283 yes 41 F 3 Unknown Married
779155158 yes 53 M 3 Graduate Married
721091583 yes 44 F 2 Graduate Single
713572683 yes 44 M 3 "High School" Unknown
716657058 yes 43 F 4 Post-Graduate Married
779509983 yes 53 M 2 Post-Graduate Single
717929133 yes 44 M 1 Uneducated Married
808284783 yes 62 F 1 Unknown Married
708476808 yes 54 M 4 Unknown Divorced
710916408 yes 57 M 4 Graduate Married
708492558 yes 42 M 3 Unknown Married
799825758 yes 42 M 4 "High School" Divorced
718619883 yes 54 F 0 Uneducated Married
711844758 yes 48 M 3 Graduate Single
714798783 yes 49 M 1 Graduate Single
826762908 yes 52 M 3 "High School" Unknown
771894558 yes 50 M 3 "High School" Single
721074183 yes 49 M 1 Doctorate Married
715259583 yes 53 F 2 "High School" Married
718414008 yes 50 M 2 Graduate Single
719666283 yes 55 F 1 Doctorate Married
714877233 yes 53 M 1 "High School" Married
785387883 yes 47 F 3 "High School" Single
771075258 yes 55 M 2 College Single
711318033 yes 47 M 3 Graduate Single
783554958 yes 58 M 4 Graduate Single
720201033 no 53 M 2 Graduate Married
718039683 yes 52 M 2 "High School" Single
710806083 yes 50 F 1 Uneducated Unknown
714752208 yes 42 F 1 Graduate Married
822063408 yes 43 M 4 Unknown Married
714490308 yes 57 M 4 Graduate Married
713356833 yes 52 M 1 Graduate Married
711402333 yes 47 M 2 Doctorate Single
708296883 yes 44 F 3 Graduate Single
719154483 yes 53 M 2 "High School" Divorced
717721458 yes 45 M 4 College Divorced
711112683 yes 63 F 1 College Married
715674483 yes 39 F 2 Post-Graduate Single
789322833 no 48 F 5 "High School" Married
789968058 yes 51 M 1 Unknown Single
709919283 yes 54 M 4 Graduate Married
718744008 yes 59 F 1 Graduate Single
767712558 no 59 M 1 College Single
712950783 no 48 F 4 Uneducated Married
716104983 yes 41 F 2 Graduate Single
818839983 yes 55 M 2 Graduate Married
772288758 yes 47 F 4 Graduate Married
712350858 yes 41 M 2 "High School" Married
711009708 yes 40 M 3 "High School" Single
712720158 yes 68 M 1 Graduate Married
712215258 yes 50 F 1 Graduate Single
773827008 yes 47 M 4 Uneducated Single
795232683 yes 53 F 1 College Married
713786508 yes 42 F 5 Unknown Married
713539833 yes 48 F 4 "High School" Single
712454058 yes 49 M 1 Doctorate Married
718759833 yes 44 F 2 Uneducated Married
718803333 yes 43 F 4 Graduate Divorced
720253908 yes 56 M 0 "High School" Married
714133158 yes 59 F 1 College Single
713187033 yes 46 M 1 Uneducated Married
714791208 yes 47 F 4 Unknown Divorced
772426383 yes 50 F 4 Uneducated Married
710975883 yes 51 F 3 Uneducated Married
714264408 yes 47 F 3 Uneducated Married
715827858 yes 58 F 4 Uneducated Married
713741358 no 46 M 5 Graduate Single
