passenger_id	Inflight wifi service	Departure/Arrival time convenient	Ease of Online booking	Gate location	Food and drink	Online boarding	Seat comfort	Inflight entertainment	On-board service	Leg room service	Baggage handling	Checkin service	Inflight service	Cleanliness
70172	3	4	3	1	5	3	5	5	4	3	4	4	5	5
5047	3	2	3	3	1	3	1	1	1	5	3	1	4	1
110028	2	2	2	2	5	5	5	5	4	3	4	4	4	5
24026	2	5	5	5	2	2	2	2	2	5	3	1	4	2
119299	3	3	3	3	4	5	5	3	3	4	4	3	3	3
111157	3	4	2	1	1	2	1	1	3	4	4	4	4	1
82113	2	4	2	3	2	2	2	2	3	3	4	3	5	2
96462	4	3	4	4	5	5	5	5	5	5	5	4	5	4
79485	1	2	2	2	4	3	3	1	1	2	1	4	1	2
65725	3	3	3	4	2	3	3	2	2	3	4	4	3	2
34991	4	5	5	4	2	5	2	2	3	3	5	3	5	2
51412	2	4	2	2	1	2	1	1	1	2	5	5	5	1
98628	1	4	4	4	1	1	1	1	1	1	3	4	4	1
83502	4	2	4	3	4	4	4	4	4	5	2	2	2	4
95789	3	2	3	2	2	3	2	2	4	3	2	2	1	2
100580	2	1	2	3	4	2	1	4	2	1	4	1	3	4
71142	3	3	3	3	4	4	4	4	5	3	4	5	4	4
127461	4	4	2	4	4	4	4	5	5	5	5	3	5	5
70354	4	4	4	4	3	4	5	5	5	5	5	3	5	4
66246	2	3	3	2	5	3	5	5	1	2	4	3	2	5
39076	2	4	2	4	2	2	1	2	1	5	3	4	3	2
22434	3	1	3	3	5	3	5	5	2	5	3	3	4	5
43510	3	5	3	5	5	4	5	3	3	3	5	3	3	4
114090	4	5	4	5	4	3	4	4	4	4	4	2	4	2
105420	5	0	5	1	1	5	1	1	4	5	5	3	5	1
102956	4	4	4	1	5	4	5	5	3	2	4	4	5	5
18510	1	1	1	1	1	5	3	4	4	4	3	5	4	2
14925	4	4	4	4	2	2	1	4	4	4	4	2	4	2
118319	3	1	1	1	1	2	1	3	3	3	3	2	3	2
75460	3	2	3	3	3	3	1	3	2	4	3	4	2	3
48492	4	4	4	4	5	5	5	5	5	4	3	1	5	5
27809	2	2	2	3	5	2	5	5	3	1	4	2	4	5
70594	4	5	4	4	4	4	4	3	3	4	5	4	3	4
30089	4	5	4	1	2	4	5	5	5	4	3	5	5	5
58779	3	3	3	4	1	3	1	1	4	1	3	1	4	1
79659	1	4	4	4	1	1	1	1	3	5	3	3	3	1
110293	3	4	4	3	5	4	2	5	5	4	5	4	5	5
48014	4	3	4	2	2	4	2	2	5	1	4	3	4	2
96517	4	4	4	3	2	4	5	4	4	4	4	4	4	4
64685	1	1	1	2	1	1	1	1	3	3	4	4	4	1
64138	4	4	4	4	3	5	5	4	4	4	4	4	4	3
60373	3	5	3	4	3	3	3	3	4	4	5	5	5	3
14849	0	0	0	3	2	5	3	4	4	4	4	4	4	3
28319	3	3	3	3	2	1	4	5	5	5	5	2	5	4
103012	1	1	1	1	3	5	5	3	3	3	3	4	3	5
124114	1	1	1	1	5	5	5	5	4	2	5	5	4	5
107794	2	4	2	1	4	2	4	4	4	5	4	4	5	4
81983	1	1	1	1	1	1	1	1	3	5	3	1	4	1
53164	3	3	3	3	5	2	3	5	5	5	5	4	5	3
82042	2	2	2	3	5	2	5	5	2	3	3	1	3	5
72127	2	1	1	1	2	2	2	2	3	3	2	3	3	2
113046	3	3	3	3	4	4	4	4	3	4	4	4	5	4
1050	5	5	5	5	1	2	3	5	5	5	5	4	5	2
54886	2	3	2	4	4	2	4	4	4	4	3	4	1	4
125918	2	2	2	3	1	3	4	4	4	2	4	4	4	4
7467	2	4	2	2	4	5	5	4	4	4	4	3	4	5
78972	0	0	0	1	3	4	5	5	5	5	5	4	5	5
126625	5	5	5	5	2	5	5	5	5	5	5	3	5	4
114501	3	3	3	3	4	3	4	4	1	1	4	2	3	4
114813	2	4	2	1	4	2	4	4	4	2	4	5	5	4
32167	2	2	2	3	3	2	3	3	2	1	4	2	4	3
68001	2	2	2	2	4	4	4	4	4	4	4	4	4	3
117052	2	1	2	2	4	2	3	4	4	4	3	2	2	4
8661	3	3	3	3	5	4	4	5	5	5	5	4	5	4
57165	5	5	5	5	2	4	4	4	4	4	4	3	4	4
78610	3	3	3	3	4	5	4	4	5	4	4	4	4	4
51058	2	4	2	3	4	2	4	4	3	2	4	4	5	4
92027	2	2	2	2	2	4	5	5	5	5	5	5	5	4
115534	2	1	1	1	2	2	2	2	3	2	2	2	3	2
9261	4	4	4	4	4	4	4	4	3	3	1	1	4	4
61033	4	4	4	4	3	4	5	5	5	5	5	4	5	5
75930	3	2	2	2	3	3	3	3	2	5	1	1	2	3
112142	2	2	2	4	5	2	5	5	5	4	4	5	5	5
24518	1	4	1	2	2	1	2	2	4	4	5	5	5	2
112524	3	5	3	2	1	3	1	1	4	4	5	3	4	1
101639	5	1	5	4	1	5	1	1	4	2	5	4	5	1
85018	2	4	4	4	1	4	3	2	2	2	2	1	2	4
106922	4	5	4	2	2	4	2	2	4	5	3	4	4	2
32564	4	0	4	4	4	4	4	4	5	2	1	4	4	4
92242	2	1	1	2	3	2	4	3	3	5	3	4	5	3
73302	1	1	1	1	4	4	4	4	4	2	5	4	4	4
42267	4	4	4	3	3	4	3	3	2	3	2	3	3	3
121358	3	3	3	4	5	3	5	5	3	2	4	2	4	5
65655	4	0	4	4	1	4	1	1	3	4	4	4	5	1
88062	2	2	2	2	3	5	5	4	4	4	4	5	4	4
91330	4	4	4	4	4	4	4	4	1	2	2	4	2	4
22031	3	5	3	2	3	4	5	5	5	3	5	4	5	5
27921	3	5	3	4	5	3	2	5	4	4	5	3	5	5
51947	3	3	3	3	1	1	3	4	4	4	4	3	4	1
40017	2	2	2	3	3	2	3	3	3	1	3	1	4	3
76392	0	5	0	3	4	0	3	4	4	5	5	4	5	4
118486	5	5	5	3	2	5	2	2	3	4	4	4	4	2
