	hobbies	salary expectation	like degree	pursue a career	social media	travelling time	stress level 	financial status	part-time job
0	Video Games	40000	No	50%	1.30 - 2 hour	30 - 60 minutes	Bad	Bad	No
1	Cinema	15000	Yes	75%	1 - 1.30 hour	0 - 30 minutes	Bad	Bad	No
2	Cinema	13000	Yes	50%	More than 2 hour		Awful	Bad	No
3	Reading books	1500000	No	50%	1.30 - 2 hour	0 - 30 minutes	Bad	good	No
4	Video Games	50000	Yes	25%	1.30 - 2 hour	30 - 60 minutes	Good	good	No
5	Cinema		Yes	50%	30 - 60 Minute	0 - 30 minutes	Bad	good	No
6	Reading books	15000	Yes	75%	1 - 1.30 hour	1 - 1.30 hour	Good	good	No
7	Sports	25000	Yes	50%	1 - 1.30 hour	1 - 1.30 hour	Good	good	No
8	Video Games	20000	Yes	75%	1.30 - 2 hour	1 - 1.30 hour	Bad	Bad	No
9	Video Games	20000	Yes	75%	30 - 60 Minute	30 - 60 minutes	Good	good	No
10	Video Games	18000	Yes	75%	1 - 1.30 hour	0 - 30 minutes	Good	Bad	No
11	Cinema		Yes	75%	1 - 1.30 hour	2 - 2.30 hour	Bad	Bad	No
12	Reading books	18000	Yes	75%	1 - 30 Minute		Bad	good	No
13	Cinema	17	Yes	75%	30 - 60 Minute	1.30 - 2 hour	Good	Awful	No
14	Cinema	60000	Yes	75%	1 - 30 Minute	30 - 60 minutes	Good	good	No
15	Video Games	18000	Yes	75%	1 - 1.30 hour	more than 3 hour	Good	Bad	No
16		15000	Yes	75%	1.30 - 2 hour	30 - 60 minutes	Good	good	Yes
17	Cinema	0	Yes	100%	1 - 1.30 hour	1 - 1.30 hour	Bad	Bad	No
18	Cinema	30000	Yes	100%	1 - 30 Minute	1 - 1.30 hour	Bad	Bad	No
19	Cinema	20000	Yes	100%	1 - 30 Minute	30 - 60 minutes	Good	good	No
20	Sports	10000	Yes	75%	30 - 60 Minute	1 - 1.30 hour	Bad	Bad	Yes
21	Cinema	20000	Yes	50%	1 - 30 Minute	1 - 1.30 hour	Good	Bad	No
22	Cinema	25000	Yes	75%	1 - 1.30 hour	1 - 1.30 hour	Bad	good	No
23	Video Games	18000	Yes	50%	1 - 1.30 hour	30 - 60 minutes	Good	good	No
24	Cinema	20000	Yes	50%	1.30 - 2 hour	2 - 2.30 hour	Awful	good	No
25	Sports	18000	Yes	75%	30 - 60 Minute	30 - 60 minutes	Bad	good	Yes
26	Cinema	30000	Yes	50%	0 Minute	1 - 1.30 hour	Good	Bad	No
27	Sports	15000	Yes	100%	1 - 1.30 hour	30 - 60 minutes	Good	good	No
28	Sports	20000	Yes	100%	0 Minute	1 - 1.30 hour	Awful	Bad	Yes
29	Reading books	15000	Yes	75%	1 - 1.30 hour	30 - 60 minutes	Good	Bad	No
30	Sports	30000	Yes	75%	30 - 60 Minute	1.30 - 2 hour	Good		No
31	Sports	30000	Yes	100%	30 - 60 Minute	2.30 - 3 hour	Good	Bad	No
32	Sports	20000	Yes	75%	1 - 30 Minute	1.30 - 2 hour	Good	Awful	No
33	Cinema	15000	Yes	75%	1 - 1.30 hour	0 - 30 minutes	Awful	Bad	No
34	Video Games	17000	Yes	75%	30 - 60 Minute	30 - 60 minutes	Bad	good	No
35	Sports	15000	Yes	50%	1 - 1.30 hour	1.30 - 2 hour	Bad	Bad	No
36	Sports	15000	Yes	100%	1 - 1.30 hour	1 - 1.30 hour	Good		No
37	Cinema	25000	Yes	100%	1 - 1.30 hour	0 - 30 minutes	Awful	good	No
38	Video Games	40000	Yes	75%	More than 2 hour	30 - 60 minutes	Good	Bad	No
39	Video Games	10000	No	25%	30 - 60 Minute	1 - 1.30 hour	Bad	Bad	No
40	Sports	50000	Yes	50%	1 - 30 Minute	1 - 1.30 hour	Bad	good	No
41	Reading books	20000	Yes	75%	1.30 - 2 hour	30 - 60 minutes	Good	good	No
42	Cinema	10000	Yes	50%	More than 2 hour	0 - 30 minutes	Good	good	No
43	Cinema	20000	Yes	100%	1 - 30 Minute	0 - 30 minutes	Good	good	Yes
44	Sports	20000	Yes	75%	1 - 1.30 hour	30 - 60 minutes	Good	good	Yes
45	Sports	10000	Yes	25%	1 - 1.30 hour	0 - 30 minutes	Bad	good	No
46	Sports	30000	Yes	75%	More than 2 hour	1.30 - 2 hour	Good	good	No
47	Video Games	100000	Yes	75%	30 - 60 Minute	1.30 - 2 hour	Awful	good	No
48	Reading books	20000	Yes	50%	30 - 60 Minute	30 - 60 minutes	fabulous	good	No
49	Reading books	15000	Yes	75%	1 - 30 Minute	30 - 60 minutes	Good	good	No
50	Sports	50000	Yes	75%	30 - 60 Minute	2 - 2.30 hour	Awful	Awful	Yes
51	Sports	8000	Yes	100%	0 Minute	1 - 1.30 hour	Bad	Bad	No
52	Reading books	15000	Yes	100%	1.30 - 2 hour	30 - 60 minutes	Bad	good	No
53	Reading books	15000	Yes	100%	1.30 - 2 hour	more than 3 hour	Good	Bad	No
54	Reading books	10000	Yes	75%	1.30 - 2 hour	30 - 60 minutes	Bad	good	No
55	Sports	20000	Yes	75%	1 - 1.30 hour	30 - 60 minutes	fabulous	Bad	No
56	Reading books	15000	Yes	100%	1 - 30 Minute	0 - 30 minutes	fabulous	Bad	Yes
57	Sports	18000	Yes	75%	1 - 1.30 hour	1 - 1.30 hour	Good	good	No
58	Sports	20000	Yes	100%	1 - 30 Minute	0 - 30 minutes	Good	good	No
59	Sports	50000	Yes	75%	1 - 1.30 hour	30 - 60 minutes	Bad	Bad	Yes
60	Cinema	15000	Yes	75%	1 - 30 Minute	30 - 60 minutes	Good	good	No
61	Cinema	15000	Yes	75%	30 - 60 Minute	30 - 60 minutes	Good	good	No
62	Cinema	15000	Yes	100%	More than 2 hour	30 - 60 minutes	Awful	Bad	Yes
63	Sports	20000	No	25%	More than 2 hour	30 - 60 minutes	Bad	Awful	Yes
64	Video Games	20000	Yes	50%	More than 2 hour	30 - 60 minutes	Bad	good	No
65	Cinema	25000	Yes	75%	More than 2 hour	1.30 - 2 hour	Good	good	Yes
66	Reading books	20000	Yes	75%	1 - 30 Minute	1 - 1.30 hour	Good	good	No
67	Reading books	18000	Yes	75%	30 - 60 Minute	30 - 60 minutes	Bad	Bad	No
68	Cinema	50000	Yes	75%	30 - 60 Minute	2 - 2.30 hour	Good	good	No
69	Reading books	10000	Yes	75%	1 - 30 Minute	1 - 1.30 hour	Bad	good	No
70	Sports	15000	Yes	25%	1.30 - 2 hour	0 - 30 minutes	Bad	Bad	Yes
71	Sports	20000	Yes	50%	1 - 1.30 hour	30 - 60 minutes	Bad	good	No
72	Cinema	10000	No	25%	1 - 30 Minute	1 - 1.30 hour	Good	Bad	No
73	Sports	50000	Yes	50%	30 - 60 Minute	1 - 1.30 hour	Bad	good	No
74	Video Games	20000	Yes	75%	1 - 1.30 hour	more than 3 hour	Good	good	Yes
75	Sports	20000	Yes	75%	1 - 1.30 hour	0 - 30 minutes	Good	good	No
76	Reading books	20000	Yes	100%	1 - 30 Minute	30 - 60 minutes	Good	good	No
77	Cinema	15000	Yes	75%	1 - 1.30 hour	1 - 1.30 hour	Good	good	No
78	Sports		Yes	75%	1 - 1.30 hour	2 - 2.30 hour	Bad	Fabulous	No
79	Reading books	18000	No	50%	30 - 60 Minute	2.30 - 3 hour	Awful	Awful	No
80	Sports	12000	Yes	75%	1.30 - 2 hour	30 - 60 minutes	Good	Bad	No
81	Cinema	10000	Yes	75%	More than 2 hour	30 - 60 minutes	Good	good	No
82	Sports	25000	Yes	75%	1 - 1.30 hour	0 - 30 minutes	Awful	Bad	No
83	Cinema	25000	No	100%	1.30 - 2 hour	0 - 30 minutes	Good	Awful	Yes
84	Reading books	21	Yes	100%	30 - 60 Minute	30 - 60 minutes	Awful	good	Yes
85	Cinema	25000	Yes	75%	1 - 1.30 hour	1 - 1.30 hour	Good	Bad	No
86	Cinema		No	25%	More than 2 hour	0 - 30 minutes	Good	good	No
87	Video Games	35000	Yes	75%	More than 2 hour	0 - 30 minutes	Bad	good	No
