,severity
1,Minor
2,Minor
3,Significant
4,Significant
5,Minor
6,Minor
7,Significant
8,Severe
9,Minor
10,Significant
11,Minor
12,Minor
13,Minor
14,Minor
15,Minor
16,Significant
17,Minor
18,Significant
19,Minor
20,Minor
21,Minor
22,Minor
23,Minor
24,Minor
25,Minor
26,Minor
27,Minor
28,Minor
29,Minor
30,Minor
31,Minor
32,Minor
33,Minor
34,Minor
35,Minor
36,Minor
37,Minor
38,Minor
39,Minor
40,Minor
41,Significant
42,Significant
43,Minor
44,Minor
45,Minor
46,Minor
47,Minor
48,Significant
49,Significant
50,Minor
51,Minor
52,Significant
53,Significant
54,Minor
55,Significant
56,Minor
57,Minor
58,Significant
59,Significant
60,Minor
61,Severe
62,Minor
63,Minor
64,Significant
65,Significant
66,Significant
67,Minor
68,Significant
69,Minor
70,Minor
71,Minor
72,Significant
73,Minor
74,Minor
75,Minor
76,Minor
77,Minor
78,Minor
79,Significant
80,Minor
81,Minor
82,Minor
83,Minor
84,Minor
85,Minor
86,Severe
87,Significant
88,Significant
89,Minor
90,Minor
91,Minor
92,Minor
93,Significant
94,Significant
95,Minor
96,Minor
97,Significant
98,Significant
99,Minor
100,Significant
101,Significant
102,Minor
103,Minor
104,Minor
105,Significant
106,Significant
107,Significant
108,Minor
109,Significant
110,Minor
111,Minor
112,Minor
113,Minor
114,Minor
115,Significant
116,Minor
117,Minor
118,Minor
119,Minor
120,Significant
121,Significant
122,Minor
123,Significant
124,Significant
125,Significant
126,Minor
127,Minor
128,Minor
129,Significant
130,Minor
131,Significant
132,Minor
133,Minor
134,Minor
135,Significant
136,Minor
137,Significant
138,Minor
139,Minor
140,Minor
141,Minor
142,Minor
143,Minor
144,Minor
145,Minor
146,Minor
147,Minor
148,Significant
149,Minor
150,Significant
151,Significant
152,Significant
153,Significant
154,Significant
155,Minor
156,Significant
157,Severe
158,Minor
159,Significant
160,Significant
161,Minor
162,Significant
163,Minor
164,Significant
165,Minor
166,Minor
167,Significant
168,Minor
169,Significant
170,Minor
171,Minor
172,Significant
173,Minor
174,Significant
175,Significant
176,Minor
177,Significant
178,Minor
179,Minor
180,Significant
181,Minor
182,Minor
183,Minor
184,Minor
185,Minor
186,Significant
187,Minor
188,Minor
189,Minor
190,Significant
191,Minor
192,Significant
193,Significant
194,Minor
195,Minor
196,Minor
197,Significant
198,Significant
199,Minor
200,Minor
201,Significant
202,Minor
203,Significant
204,Minor
205,Significant
206,Minor
207,Minor
208,Minor
209,Significant
210,Minor
211,Minor
212,Minor
213,Significant
214,Minor
215,Minor
216,Minor
217,Minor
218,Minor
219,Significant
220,Minor
221,Minor
222,Significant
223,Severe
224,Minor
225,Minor
226,Minor
227,Significant
228,Minor
229,Minor
230,Significant
231,Significant
232,Significant
233,Significant
234,Minor
235,Significant
236,Significant
237,Minor
238,Significant
239,Minor
240,Minor
241,Significant
242,Minor
243,Minor
244,Significant
245,Minor
246,Minor
247,Significant
248,Minor
249,Minor
250,Minor
251,Significant
252,Significant
253,Minor
254,Minor
255,Significant
256,Severe
257,Minor
258,Minor
259,Minor
260,Minor
261,Significant
262,Minor
263,Significant
264,Minor
265,Significant
266,Minor
267,Minor
268,Minor
269,Minor
270,Minor
271,Minor
272,Minor
273,Minor
274,Minor
275,Minor
276,Minor
277,Minor
278,Minor
279,Significant
280,Significant
281,Minor
282,Minor
283,Minor
284,Minor
285,Minor
286,Minor
287,Significant
288,Minor
289,Minor
290,Significant
291,Minor
292,Minor
293,Minor
294,Minor
295,Significant
296,Significant
297,Significant
298,Significant
299,Significant
300,Minor
301,Significant
302,Significant
303,Minor
304,Minor
305,Minor
306,Minor
307,Minor
308,Severe
309,Significant
310,Minor
311,Minor
312,Minor
313,Significant
314,Minor
315,Minor
316,Minor
317,Minor
318,Minor
319,Minor
320,Minor
321,Significant
322,Minor
323,Significant
324,Significant
325,Minor
326,Significant
327,Minor
328,Significant
329,Minor
330,Minor
331,Significant
332,Minor
333,Significant
334,Minor
335,Minor
336,Significant
337,Significant
338,Minor
339,Significant
340,Minor
341,Minor
342,Minor
343,Minor
344,Minor
345,Significant
346,Minor
347,Significant
348,Minor
349,Minor
350,Significant
351,Minor
352,Minor
353,Significant
354,Minor
355,Minor
356,Minor
357,Minor
358,Significant
359,Minor
360,Significant
361,Significant
362,Significant
363,Minor
364,Minor
365,Significant
366,Minor
367,Significant
368,Minor
369,Minor
370,Minor
371,Minor
372,Significant
373,Minor
374,Significant
375,Minor
376,Minor
377,Significant
378,Significant
379,Significant
380,Significant
381,Significant
382,Significant
383,Significant
384,Significant
385,Significant
386,Minor
387,Minor
388,Significant
389,Minor
390,Significant
391,Minor
392,Minor
393,Minor
394,Minor
395,Minor
396,Significant
397,Significant
398,Minor
399,Significant
400,Minor
401,Minor
402,Minor
403,Significant
404,Minor
405,Significant
406,Significant
407,Minor
408,Significant
409,Minor
410,Minor
411,Significant
412,Significant
413,Minor
414,Minor
415,Minor
416,Significant
417,Minor
418,Minor
419,Minor
420,Severe
421,Minor
422,Significant
423,Minor
424,Minor
425,Minor
426,Minor
427,Minor
428,Significant
429,Minor
430,Minor
431,Significant
432,Significant
433,Minor
434,Significant
435,Significant
436,Minor
437,Minor
438,Minor
439,Minor
440,Minor
441,Significant
442,Significant
443,Minor
444,Significant
445,Minor
446,Minor
447,Minor
448,Minor
449,Minor
450,Minor
451,Minor
452,Significant
453,Significant
454,Significant
455,Minor
456,Minor
457,Minor
458,Minor
459,Significant
460,Minor
461,Significant
462,Minor
463,Minor
464,Significant
465,Minor
466,Significant
467,Minor
468,Significant
469,Minor
470,Minor
471,Minor
472,Significant
473,Significant
474,Significant
475,Significant
476,Minor
477,Minor
478,Minor
479,Minor
480,Minor
481,Minor
482,Minor
483,Minor
484,Minor
485,Significant
486,Minor
487,Minor
488,Minor
489,Significant
490,Minor
491,Significant
492,Minor
493,Minor
494,Minor
495,Minor
496,Significant
497,Significant
498,Minor
499,Minor
500,Significant
501,Significant
502,Minor
503,Severe
504,Significant
505,Minor
506,Minor
507,Minor
508,Minor
509,Minor
510,Minor
511,Significant
512,Significant
513,Minor
514,Minor
515,Minor
516,Minor
517,Minor
518,Minor
519,Significant
520,Minor
521,Minor
522,Minor
523,Minor
524,Minor
525,Significant
526,Minor
527,Minor
528,Significant
529,Minor
530,Minor
531,Minor
532,Minor
533,Minor
534,Significant
535,Minor
536,Minor
537,Significant
538,Minor
539,Significant
540,Minor
541,Minor
542,Minor
543,Significant
544,Minor
545,Minor
546,Minor
547,Minor
548,Significant
549,Minor
550,Significant
551,Minor
552,Minor
553,Minor
554,Minor
555,Minor
556,Minor
557,Significant
558,Minor
559,Minor
560,Minor
561,Minor
562,Significant
563,Minor
564,Significant
565,Significant
566,Significant
567,Minor
568,Significant
569,Significant
570,Significant
571,Minor
572,Minor
573,Significant
574,Minor
575,Significant
576,Minor
577,Significant
578,Minor
579,Minor
580,Significant
581,Significant
582,Minor
583,Significant
584,Significant
585,Minor
586,Significant
587,Minor
588,Minor
589,Significant
590,Minor
591,Minor
592,Minor
593,Minor
594,Significant
595,Significant
596,Significant
597,Minor
598,Significant
599,Minor
600,Significant
601,Significant
602,Significant
603,Significant
604,Minor
605,Minor
606,Significant
607,Minor
608,Minor
609,Significant
610,Minor
611,Significant
612,Significant
613,Minor
614,Significant
615,Minor
616,Minor
617,Significant
618,Significant
619,Significant
620,Minor
621,Significant
622,Minor
623,Minor
624,Minor
625,Significant
626,Minor
627,Minor
628,Minor
629,Minor
630,Significant
631,Significant
632,Minor
633,Minor
634,Minor
635,Minor
636,Significant
637,Minor
638,Minor
639,Minor
640,Significant
641,Significant
642,Minor
643,Minor
644,Minor
645,Significant
646,Significant
647,Minor
648,Minor
649,Minor
650,Minor
651,Minor
652,Minor
653,Minor
654,Significant
655,Minor
656,Minor
657,Minor
658,Significant
659,Severe
660,Minor
661,Minor
662,Significant
663,Minor
664,Minor
665,Minor
666,Significant
667,Minor
668,Significant
669,Significant
670,Significant
671,Minor
672,Minor
673,Significant
674,Minor
675,Minor
676,Significant
677,Minor
678,Minor
679,Significant
680,Significant
681,Significant
682,Minor
683,Significant
684,Significant
685,Significant
686,Minor
687,Minor
688,Significant
689,Significant
690,Minor
691,Minor
692,Minor
693,Significant
694,Minor
695,Minor
696,Minor
697,Significant
698,Significant
699,Minor
700,Minor
701,Minor
702,Minor
703,Minor
704,Minor
705,Significant
706,Significant
707,Minor
708,Minor
709,Significant
710,Minor
711,Minor
712,Minor
713,Minor
714,Minor
715,Minor
716,Minor
717,Minor
718,Significant
719,Significant
720,Minor
721,Significant
722,Minor
723,Significant
724,Minor
725,Minor
726,Minor
727,Significant
728,Significant
729,Minor
730,Minor
731,Minor
732,Minor
733,Minor
734,Minor
735,Minor
736,Minor
737,Minor
738,Significant
739,Minor
740,Minor
741,Minor
742,Significant
743,Minor
744,Minor
745,Minor
746,Minor
747,Significant
748,Minor
749,Minor
750,Minor
751,Minor
752,Minor
753,Minor
754,Minor
755,Significant
756,Minor
757,Minor
758,Minor
759,Minor
760,Minor
761,Minor
762,Minor
763,Minor
764,Minor
765,Minor
766,Minor
767,Minor
768,Minor
769,Minor
770,Minor
771,Severe
772,Significant
773,Minor
774,Significant
775,Significant
776,Minor
777,Significant
778,Significant
779,Minor
780,Severe
781,Minor
782,Minor
783,Significant
784,Minor
785,Significant
786,Minor
787,Minor
788,Significant
789,Significant
790,Significant
791,Severe
792,Minor
793,Minor
794,Minor
795,Minor
796,Minor
797,Significant
798,Minor
799,Significant
800,Minor
801,Minor
802,Minor
803,Minor
804,Minor
805,Significant
806,Significant
807,Significant
808,Minor
809,Significant
810,Minor
811,Minor
812,Significant
813,Significant
814,Minor
815,Significant
816,Minor
817,Minor
818,Minor
819,Significant
820,Significant
821,Significant
822,Minor
823,Minor
824,Minor
825,Minor
826,Minor
827,Minor
828,Significant
829,Minor
830,Minor
831,Minor
832,Minor
833,Minor
834,Significant
835,Minor
836,Minor
837,Minor
838,Minor
839,Minor
840,Minor
841,Significant
842,Minor
843,Minor
844,Minor
845,Significant
846,Significant
847,Minor
848,Minor
849,Minor
850,Minor
851,Minor
852,Minor
853,Minor
854,Minor
855,Minor
856,Significant
857,Minor
858,Minor
859,Minor
860,Minor
861,Significant
862,Minor
863,Minor
864,Minor
865,Significant
866,Minor
867,Minor
868,Minor
869,Minor
870,Significant
871,Minor
872,Significant
873,Minor
874,Minor
875,Minor
876,Significant
877,Minor
878,Significant
879,Significant
880,Minor
881,Significant
882,Minor
883,Minor
884,Minor
885,Minor
886,Significant
887,Significant
888,Significant
889,Significant
890,Minor
891,Minor
892,Severe
893,Minor
894,Minor
