	type	location	distracted	time
1	Parked Car	Mid-Block	yes	2.48
2	Rear Ended	Mid-Block	no	7.0
3	Head On	At Intersection	no	7.9
4	Rear Ended	At Intersection	no	10.63
5	Left Turn	At Intersection	no	10.68
6	Parked Car	Mid-Block	no	10.93
7	Angles	At Intersection	no	11.2
8	Rear Ended	Mid-Block	yes	12.07
9	Parked Car	Mid-Block	no	14.65
10	Rear Ended	Mid-Block	no	15.12
11	Angles	At Intersection	no	15.25
12	Parked Car	Mid-Block	no	15.67
13	Right Turn	At Intersection	yes	16.42
14	Angles	At Intersection	no	16.68
15	Sideswipe	Mid-Block	yes	17.55
16	Rear Ended	Mid-Block	no	18.15
17	Rear Ended	Mid-Block	yes	18.32
18	Angles	At Intersection	no	18.37
19	Left Turn	At Intersection	no	18.75
20	Rear Ended	Mid-Block	no	19.33
21	Parked Car	Mid-Block	no	20.08
22	Parked Car	Mid-Block	no	20.18
23	Rear Ended	Mid-Block	no	1.23
24	Parked Car	Mid-Block	no	1.97
25	Parked Car	Mid-Block	no	2.05
26	Parked Car	Driveway Junction	no	4.0
27	Head On	Mid-Block	no	6.05
28	Angles	At Intersection	no	7.4
29	Rear Ended	Mid-Block	no	8.4
30	Parked Car	Driveway Junction	no	8.5
31	Left Turn	At Intersection	no	9.0
32	Left Turn	At Intersection	no	9.73
33	Rear Ended	Mid-Block	yes	11.53
34	Sideswipe	Mid-Block	yes	11.75
35	Rear Ended	Mid-Block	yes	13.83
36	Parked Car	Mid-Block	no	14.85
37	Rear Ended	Mid-Block	no	15.0
38	Left Turn	At Intersection	no	16.07
39	Parked Car	Mid-Block	no	17.17
40	Rear Ended	Mid-Block	no	18.68
41	Angles	At Intersection	no	5.63
42	Pedestrian	At Intersection	yes	7.65
43	Angles	At Intersection	no	8.6
44	Left Turn	At Intersection	no	9.82
45	Rear Ended	Mid-Block	no	11.13
46	Left Turn	At Intersection	no	12.08
47	Parked Car	Mid-Block	no	12.3
48	Angles	At Intersection	no	13.25
49	Angles	At Intersection	no	15.6
50	Sideswipe	Mid-Block	no	16.0
51	Parked Car	Mid-Block	no	16.5
52	Left Turn	At Intersection	no	16.75
53	Rear Ended	Mid-Block	yes	16.8
54	Left Turn	At Intersection	no	17.8
55	Rear Ended	Mid-Block	no	17.98
56	Left Turn	Mid-Block	no	18.8
57	Sideswipe	Mid-Block	no	10.37
58	Rear Ended	Mid-Block	yes	10.75
59	Left Turn	At Intersection	no	11.42
60	Parked Car	Mid-Block	yes	12.78
61	Head On	Mid-Block	no	12.95
62	Sideswipe	Mid-Block	no	13.5
63	Right Turn	Mid-Block	no	13.55
64	Pedestrian	Mid-Block	no	13.83
65	Rear Ended	Mid-Block	yes	15.08
66	Angles	At Intersection	no	15.13
67	Parked Car	Mid-Block	no	17.77
68	Head On	Mid-Block	no	19.28
69	Head On	At Intersection	no	19.43
70	Parked Car	Driveway Junction	no	21.57
71	Parked Car	Mid-Block	no	7.33
72	Left Turn	At Intersection	no	7.47
73	Rear Ended	Mid-Block	yes	7.48
74	Left Turn	Mid-Block	yes	8.37
75	Parked Car	Mid-Block	no	9.95
76	Left Turn	At Intersection	no	10.75
77	Angles	At Intersection	no	13.17
78	Angles	At Intersection	no	14.72
79	Pedestrian	At Intersection	no	14.9
80	Angles	At Intersection	no	15.25
81	Rear Ended	Mid-Block	yes	15.7
82	Rear Ended	Mid-Block	no	16.82
83	Left Turn	At Intersection	no	16.93
84	Parked Car	Mid-Block	no	17.0
85	Rear Ended	Mid-Block	no	18.05
86	Left Turn	At Intersection	no	18.68
87	Rear Ended	Mid-Block	no	18.8
88	Angles	At Intersection	no	19.25
89	Angles	At Intersection	no	20.25
90	Parked Car	Mid-Block	no	20.8
91	Parked Car	Mid-Block	yes	21.07
92	Parked Car	Mid-Block	no	23.0
93	Angles	At Intersection	no	23.37
94	Rear Ended	Mid-Block	yes	11.08
95	Rear Ended	Mid-Block	yes	12.83
96	Parked Car	Mid-Block	no	13.25
97	Angles	At Intersection	no	13.48
98	Left Turn	At Intersection	no	13.75
99	Rear Ended	Mid-Block	no	13.75
100	Angles	At Intersection	no	13.77
101	Angles	At Intersection	no	13.95
102	Parked Car	Mid-Block	no	14.25
103	Right Turn	At Intersection	no	14.5
104	Rear Ended	Mid-Block	no	16.57
105	Pedestrian	At Intersection	no	18.28
106	Angles	At Intersection	no	18.88
107	Rear Ended	Mid-Block	yes	19.33
108	Sideswipe	Mid-Block	no	19.33
109	Rear Ended	At Intersection	no	20.08
110	Angles	At Intersection	no	20.17
111	Angles	At Intersection	yes	20.83
112	Parked Car	Mid-Block	no	21.92
113	Rear Ended	Mid-Block	no	22.68
114	Angles	Mid-Block	no	23.8
115	Head On	At Intersection	no	2.05
116	Parked Car	Mid-Block	no	2.1
117	Rear Ended	Mid-Block	no	2.22
118	Left Turn	At Intersection	no	2.33
119	Head On	Mid-Block	yes	9.78
120	Angles	At Intersection	no	12.15
121	Left Turn	At Intersection	no	12.55
122	Angles	At Intersection	no	14.42
123	Pedestrian	Driveway Junction	yes	17.33
124	Rear Ended	Mid-Block	no	18.23
125	Rear Ended	At Intersection	no	18.32
126	Left Turn	At Intersection	no	19.85
127	Sideswipe	Mid-Block	no	21.47
128	Parked Car	Mid-Block	no	22.43
129	Angles	At Intersection	no	23.18
130	Parked Car	Mid-Block	no	3.12
131	Rear Ended	Mid-Block	yes	6.6
132	Parked Car	Mid-Block	no	6.92
133	Parked Car	Mid-Block	no	7.07
134	Parked Car	Mid-Block	no	8.45
135	Rear Ended	Mid-Block	yes	9.48
136	Left Turn	At Intersection	no	9.5
137	Rear Ended	Mid-Block	no	10.27
138	Parked Car	Driveway Junction	no	10.37
139	Angles	At Intersection	no	12.33
140	Parked Car	Mid-Block	no	12.92
141	Head On	Mid-Block	no	13.3
142	Left Turn	At Intersection	no	14.87
143	Parked Car	Mid-Block	no	16.32
144	Sideswipe	Mid-Block	no	16.67
145	Sideswipe	Mid-Block	no	17.25
146	Sideswipe	Mid-Block	no	17.42
147	Rear Ended	Mid-Block	no	18.0
148	Pedestrian	At Intersection	no	18.18
149	Angles	At Intersection	no	18.25
150	Angles	At Intersection	no	18.38
151	Pedestrian	At Intersection	no	18.67
152	Pedestrian	Mid-Block	no	18.98
153	Pedestrian	At Intersection	no	22.33
154	Left Turn	At Intersection	no	7.33
155	Rear Ended	Mid-Block	yes	7.9
156	Angles	At Intersection	yes	7.92
157	Cycles	At Intersection	no	7.97
